,team_name,vs_team,Upcoming_game,Game_datetime_neat,Rink,Jersey,Team_side
0,Team Beer,Flying Pandas,False,"Sat, Sep 03 @ 09:45 PM",Orange (N),Dark,Away
0,Team America,Beerbears on Ice,False,"Sat, Sep 10 @ 08:00 PM",Grey,Dark,Away
1,Team America,Cereal Killers,False,"Mon, Sep 19 @ 11:15 PM",Grey,Light,Home
2,Team America,Beerbears on Ice,False,"Sun, Sep 25 @ 05:45 PM",Sharks,Dark,Away
1,Team Beer,Choking Hazards,False,"Mon, Sep 26 @ 10:30 PM",Sharks,Light,Home
3,Team America,Stampede,False,"Wed, Sep 28 @ 09:45 PM",White (C),Dark,Away
2,Team Beer,Buffalo Wings,False,"Sun, Oct 02 @ 08:45 PM",Sharks,Dark,Away
3,Team Beer,Schrute Farms,True,"Sun, Oct 09 @ 06:00 PM",Grey,Light,Home
4,Team America,K-Wings,True,"Sun, Oct 09 @ 09:00 PM",Orange (N),Dark,Away
4,Team Beer,3rd Line Scrubs,True,"Sun, Oct 16 @ 07:00 PM",Grey,Dark,Away
5,Team America,Kraken More Beers,True,"Tue, Oct 18 @ 11:15 PM",Grey,Light,Home
5,Team Beer,Seal Team Sticks,True,"Sat, Oct 22 @ 09:30 PM",Sharks,Light,Home
